"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37287031","taenianotus","Ablabys taenianotus (Cuvier, 1829)","TETRAROGIDAE","Ablabys","","taenianotus","","Valid Name","","Species","","Cuvier","1829","N","71c1e0c7-bbe0-4f6f-acd9-f944a7cb4eda","20150423T08:02:11.608+0000","0b88f0d6-47a1-4a93-ba48-32dd5a6a2f08","20150505T21:35:04.768+0000","f3e1f03f-ae31-423d-b650-c217c808a6d7","0b88f0d6-47a1-4a93-ba48-32dd5a6a2f08","","","","","","","","","","","","","","",""
"","37372003","bengalensis","Abudefduf bengalensis (Bloch, 1787)","POMACENTRIDAE","Abudefduf","","bengalensis","","Valid Name","","Species","","Bloch","1787","N","1fe0c3b6-2a4e-4527-8e72-f0520fefd296","20170529T07:18:37.520+0000","9b8dd556-6274-4d3a-abdf-656209bddbd3","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","9b8dd556-6274-4d3a-abdf-656209bddbd3","","","","","","","","","","","","","","",""
"","37372011","sexfasciatus","Abudefduf sexfasciatus (Lacépède, 1801)","POMACENTRIDAE","Abudefduf","","sexfasciatus","","Valid Name","","Species","","Lacépède","1801","N","1eb39c0b-7832-4ee9-8169-24b617929d54","20170512T09:52:19.467+0000","9ae3dc80-8bb4-4109-a9c4-d11566a2712f","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","9ae3dc80-8bb4-4109-a9c4-d11566a2712f","","","","","","","","","","","","","","",""
"","37372012","sordidus","Abudefduf sordidus (Forsskål, 1775)","POMACENTRIDAE","Abudefduf","","sordidus","","Valid Name","","Species","","Forsskål","1775","N","a3cc41bb-1100-4c86-9ecd-1dcc225a3bfc","20160315T06:19:03.600+0000","0aecdd47-a39c-4581-9e68-7daffdd4bfd1","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","0aecdd47-a39c-4581-9e68-7daffdd4bfd1","","","","","","","","","","","","","","",""
"","37372013","vaigiensis","Abudefduf vaigiensis (Quoy & Gaimard, 1825)","POMACENTRIDAE","Abudefduf","","vaigiensis","","Valid Name","","Species","","Quoy & Gaimard","1825","N","e45d94fe-811b-4fed-8379-f126d45acc36","20170529T06:31:57.236+0000","268b9721-ffc9-41f1-a58c-f30fde3241dd","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","268b9721-ffc9-41f1-a58c-f30fde3241dd","","","","","","","","","","","","","","",""
"","37372014","whitleyi","Abudefduf whitleyi Allen & Robertson, 1974","POMACENTRIDAE","Abudefduf","","whitleyi","","Valid Name","","Species","","Allen & Robertson","1974","Y","51df8889-090c-407d-9c02-8e4932fb7c3f","20170512T09:57:40.737+0000","424136da-d264-4384-9ab5-cb84ec9c060f","20170727T04:09:21.978+0000","1ca187b2-ee15-4070-93c5-70dae451ad0e","424136da-d264-4384-9ab5-cb84ec9c060f","","","","","","","","","","","","","","",""
"","37311131","cinctus","Acanthistius cinctus (Günther, 1859)","SERRANIDAE","Acanthistius","","cinctus","","Valid Name","","Species","","Günther","1859","N","b1719fd0-b1c9-4d7c-8d5e-68bbb7f28da8","20121130T05:29:24.269+0000","a322f4f0-5bb5-4553-b553-1569e8d4d192","20180601T06:02:12.387+0000","a3c4911b-5253-4b00-80e5-7ddc6487a4ec","a322f4f0-5bb5-4553-b553-1569e8d4d192","","","","","","","","","","","","","","",""
"","37311090","ocellatus","Acanthistius ocellatus (Günther, 1859)","SERRANIDAE","Acanthistius","","ocellatus","","Valid Name","","Species","","Günther","1859","N","e8198ead-5436-4175-9411-400b4317598a","20120107T07:48:36.800+0000","65d5f7d8-7e3a-45c1-80d7-1e6679a29ebb","20180601T06:02:12.387+0000","a3c4911b-5253-4b00-80e5-7ddc6487a4ec","65d5f7d8-7e3a-45c1-80d7-1e6679a29ebb","","","","","","","","","","","","","","",""
"","37441024","solandri","Acanthocybium solandri (Cuvier, 1832)","SCOMBRIDAE","Acanthocybium","","solandri","","Valid Name","","Species","","Cuvier","1832","N","d479b17e-d307-4e87-b353-ebec942ab43d","20131008T23:07:52.756+0000","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","20131008T23:07:52.756+0000","5110559f-ef6f-4937-95a5-b03e2f548aba","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","","","","","","","","","","","","","","",""
"","37437007","blochii","Acanthurus blochii Valenciennes, 1835","ACANTHURIDAE","Acanthurus","","blochii","","Valid Name","","Species","","Valenciennes","1835","Y","8439bf63-339d-4567-b7af-611642c82a3c","20131008T23:07:52.756+0000","0bb4416b-6c8f-478c-8f2e-479a1cd90124","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","0bb4416b-6c8f-478c-8f2e-479a1cd90124","","","","","","","","","","","","","","",""
"","37437008","dussumieri","Acanthurus dussumieri Valenciennes, 1835","ACANTHURIDAE","Acanthurus","","dussumieri","","Valid Name","","Species","","Valenciennes","1835","Y","c0be9611-1828-4fc7-a2a9-549657c218e8","20131008T23:07:52.756+0000","cac4e177-ad22-4798-b923-def92ff46b98","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","cac4e177-ad22-4798-b923-def92ff46b98","","","","","","","","","","","","","","",""
"","37437014","nigrofuscus","Acanthurus nigrofuscus (Forsskål, 1775)","ACANTHURIDAE","Acanthurus","","nigrofuscus","","Valid Name","","Species","","Forsskål","1775","N","6654154b-43cb-4d52-bc06-a7d718c9840c","20131008T23:07:52.756+0000","9581991b-9a2b-4e64-9117-53fab512863e","20170531T00:56:50.278+0000","6eb687f6-fb30-456c-b548-57e3589ab102","9581991b-9a2b-4e64-9117-53fab512863e","","","","","","","","","","","","","","",""
"","37437016","olivaceus","Acanthurus olivaceus Bloch & Schneider, 1801","ACANTHURIDAE","Acanthurus","","olivaceus","","Valid Name","","Species","","Bloch & Schneider","1801","Y","afe6cb9a-2783-45d8-90a8-6e99eb37eee5","20131008T23:07:52.756+0000","eaadc13b-487d-4ca2-8caf-50ecd909e493","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","eaadc13b-487d-4ca2-8caf-50ecd909e493","","","","","","","","","","","","","","",""
"","37437019","triostegus","Acanthurus triostegus (Linnaeus, 1758)","ACANTHURIDAE","Acanthurus","","triostegus","","Valid Name","","Species","","Linnaeus","1758","N","ebcbf5dd-11e6-404b-9a29-980f2573f8bc","20131008T23:07:52.756+0000","df01cfaa-63e4-4e7f-9143-7f303a8dca1e","20131008T23:07:52.756+0000","6eb687f6-fb30-456c-b548-57e3589ab102","df01cfaa-63e4-4e7f-9143-7f303a8dca1e","","","","","","","","","","","","","","",""
"","37055002","oligolepis","Albula oligolepis Hidaka, Iwatsuki & Randall, 2008","ALBULIDAE","Albula","","oligolepis","","Valid Name","","Species","","Hidaka, Iwatsuki & Randall","2008","Y","77a75be8-5afb-45db-afb0-4a4db8d9845b","20181003T07:40:13.135+0000","26bef5bc-4a97-44fb-995a-19aabc120e46","20190305T04:57:36.559+0000","bf70d028-a6b0-4295-b081-30ee6b2c5e00","26bef5bc-4a97-44fb-995a-19aabc120e46","","","","","","","","","","","","","","",""
"","37081004","affinis","Aldrovandia affinis (Günther, 1877)","HALOSAURIDAE","Aldrovandia","","affinis","","Valid Name","","Species","","Günther","1877","N","58bbd53b-7237-4069-8c85-13b00d3e64af","20180817T06:14:26.561+0000","552326a0-95a1-439b-b53f-943a3db80904","20190305T04:57:36.559+0000","3e51c5bd-5016-4f5a-a713-c6d2c20de100","552326a0-95a1-439b-b53f-943a3db80904","","","","","","","","","","","","","","",""
"","37081005","phalacra","Aldrovandia phalacra (Vaillant, 1888)","HALOSAURIDAE","Aldrovandia","","phalacra","","Valid Name","","Species","","Vaillant","1888","N","253c6578-4707-4a3c-a69c-c99661bd4e47","20180802T07:37:39.659+0000","8d85b3ba-1bf3-4b56-a386-e0853536273a","20190305T04:57:36.559+0000","3e51c5bd-5016-4f5a-a713-c6d2c20de100","8d85b3ba-1bf3-4b56-a386-e0853536273a","","","","","","","","","","","","","","",""
"","37337018","ciliaris","Alectis ciliaris (Bloch, 1787)","CARANGIDAE","Alectis","","ciliaris","","Valid Name","","Species","","Bloch","1787","N","07a5ffe4-e141-4424-83f8-a05c3da5360a","20120114T07:22:22.310+0000","85e81815-9486-466a-8d02-4d3ba4daf0c1","20121213T07:07:48.331+0000","a56ad222-fb48-4253-85d3-8d6bc3505626","85e81815-9486-466a-8d02-4d3ba4daf0c1","","","","","","","","","","","","","","",""
"","37128001","ferox","Alepisaurus ferox Lowe, 1833","ALEPISAURIDAE","Alepisaurus","","ferox","","Valid Name","","Species","","Lowe","1833","Y","1781c4e2-3841-46ff-bbe2-5b028ca6f2b1","20160714T09:38:53.984+0000","09365590-119f-4aa6-b550-95b349002236","20161222T00:27:39.419+0000","b41e003d-2237-4b02-a2f2-2bb028c7ae21","09365590-119f-4aa6-b550-95b349002236","","","","","","","","","","","","","","",""
"","37114013","antipodianus","Alepocephalus antipodianus (Parrott, 1948)","ALEPOCEPHALIDAE","Alepocephalus","","antipodianus","","Valid Name","","Species","","Parrott","1948","N","6692c14e-75ec-479b-84b5-e08d3373a640","20160523T00:06:44.378+0000","d2371ffd-1505-4089-861c-0ab6f362e397","20160606T05:32:28.811+0000","ade0043a-0530-4578-8d69-3752edbd34a9","d2371ffd-1505-4089-861c-0ab6f362e397","","","","","","","","","","","","","","",""
"","37114014","australis","Alepocephalus australis Barnard, 1923","ALEPOCEPHALIDAE","Alepocephalus","","australis","","Valid Name","","Species","","Barnard","1923","Y","3c42e07f-40bc-4737-b21c-44292a03c2d9","20160523T00:06:44.378+0000","85beb4fd-e7cb-451b-8bf2-c177ec90dc7a","20160606T05:32:28.811+0000","ade0043a-0530-4578-8d69-3752edbd34a9","85beb4fd-e7cb-451b-8bf2-c177ec90dc7a","","","","","","","","","","","","","","",""
"","37114042","owstoni","Alepocephalus owstoni Tanaka, 1908","ALEPOCEPHALIDAE","Alepocephalus","","owstoni","","Valid Name","","Species","","Tanaka","1908","Y","50347cfc-4bbf-4edc-b25e-e371e770c610","20160523T00:06:44.378+0000","b0fb530a-492c-4d0c-9667-b3eae23b215a","20160606T05:32:28.811+0000","ade0043a-0530-4578-8d69-3752edbd34a9","b0fb530a-492c-4d0c-9667-b3eae23b215a","","","","","","","","","","","","","","",""
"","37228106","piger","Alionematichthys piger (Alcock, 1890)","BYTHITIDAE","Alionematichthys","","piger","","Valid Name","","Species","","Alcock","1890","N","aabcf014-d3de-4be6-81af-5f9e416db488","20150520T05:17:49.908+0000","f56fe769-305d-4299-bb45-19d1e12d9a92","20150622T00:52:33.563+0000","8fec6338-ed0c-4911-8f82-3dcad6d4ba9d","f56fe769-305d-4299-bb45-19d1e12d9a92","","","","","","","","","","","","","","",""
"","37266004","verrucosus","Allocyttus verrucosus (Gilchrist, 1906)","OREOSOMATIDAE","Allocyttus","","verrucosus","","Valid Name","","Species","","Gilchrist","1906","N","da0be7c0-a567-4132-a813-927fba8bf05a","20130506T02:36:46.275+0000","d1e7ccac-e0a8-461d-83b1-181b61e63e83","20130506T04:26:12.282+0000","daf66381-5fc6-4909-b492-fb0ca43cda4d","d1e7ccac-e0a8-461d-83b1-181b61e63e83","","","","","","","","","","","","","","",""
"","37469002","pilatus","Allomycterus pilatus Whitley, 1931","DIODONTIDAE","Allomycterus","","pilatus","","Valid Name","","Species","","Whitley","1931","Y","43a50cba-4e53-4ddf-ada6-0e31937fa391","20140428T04:53:16.496+0000","4fb636e7-7324-409d-87d7-2026bf5ef799","20140429T04:00:17.360+0000","4f480557-76af-4768-a972-8a1186c6ea3f","4fb636e7-7324-409d-87d7-2026bf5ef799","","","","","","","","","","","","","","",""
"","37012002","superciliosus","Alopias superciliosus Lowe, 1841","ALOPIIDAE","Alopias","","superciliosus","","Valid Name","","Species","","Lowe","1841","Y","2e134528-d77f-477a-8b99-3661d9f6d03c","20140313T03:41:28.159+0000","53b1e2bc-856f-4b0d-8131-9a8cbe0a3ed5","20150715T22:47:32.147+0000","4ffdec34-5d8b-4e65-9d18-3416f3aca91c","53b1e2bc-856f-4b0d-8131-9a8cbe0a3ed5","","","","","","","","","","","","","","",""
"","37465022","monoceros","Aluterus monoceros (Linnaeus, 1758)","MONACANTHIDAE","Aluterus","","monoceros","","Valid Name","","Species","","Linnaeus","1758","N","33ada19e-b246-4d21-96e9-4abafac8d60e","20140428T04:53:16.496+0000","d4b0745d-b804-4cae-b4e0-6f0b04749ae6","20140429T04:00:17.360+0000","ed236c87-1035-4594-b5da-9c4179f2821a","d4b0745d-b804-4cae-b4e0-6f0b04749ae6","","","","","","","","","","","","","","",""
"","37428047","nocturnus","Amblygobius nocturnus (Herre, 1945)","GOBIIDAE","Amblygobius","","nocturnus","","Valid Name","","Species","","Herre","1945","N","6ce8192d-7e3e-475a-94c3-c7cbb4e2226b","20170816T07:51:56.125+0000","235a5c28-be5b-4cd2-b70c-705d0e844a87","20181203T23:02:24.999+0000","30b0e814-8845-44e3-8bfe-d873a8a9884f","235a5c28-be5b-4cd2-b70c-705d0e844a87","","","","","","","","","","","","","","",""
"","37428048","phalaena","Amblygobius phalaena (Valenciennes, 1837)","GOBIIDAE","Amblygobius","","phalaena","","Valid Name","","Species","","Valenciennes","1837","N","14567f5d-5335-4fe6-9323-b7a690650fae","20170818T06:10:29.047+0000","dd354137-ad1b-47fe-8818-2b04909f4b5a","20181203T23:02:24.999+0000","30b0e814-8845-44e3-8bfe-d873a8a9884f","dd354137-ad1b-47fe-8818-2b04909f4b5a","","","","","","","","","","","","","","",""
"","37428049","rainfordi","Amblygobius rainfordi (Whitley, 1940)","GOBIIDAE","Amblygobius","","rainfordi","","Valid Name","","Species","","Whitley","1940","N","2846cc71-2eb3-41b1-a700-22b78f386db8","20180929T07:34:20.639+0000","b95dac32-63ed-44d4-a536-fef666475aaa","20181203T23:02:24.999+0000","30b0e814-8845-44e3-8bfe-d873a8a9884f","b95dac32-63ed-44d4-a536-fef666475aaa","","","","","","","","","","","","","","",""
"","37425003","vagus","Ammodytoides vagus (McCulloch & Waite, 1916)","AMMODYTIDAE","Ammodytoides","","vagus","","Valid Name","","Species","","McCulloch & Waite","1916","N","cd29150a-1561-4d37-8e8c-8e1de455626d","20150825T02:37:54.644+0000","b3e151f2-d12e-47e0-bf8a-28aa61320640","20151008T04:00:06.190+0000","5d799002-2489-4b57-a0e8-c2e528516e0c","b3e151f2-d12e-47e0-bf8a-28aa61320640","","","","","","","","","","","","","","",""
"","37365020","howensis","Amphichaetodon howensis (Waite, 1903)","CHAETODONTIDAE","Amphichaetodon","","howensis","","Valid Name","","Species","","Waite","1903","N","dbcda844-175d-45cf-8985-e5688e59eb13","20131008T23:07:52.756+0000","72b8e08d-601d-41ee-8ece-138593df0acd","20131008T23:07:52.756+0000","e8623807-11ba-4b3b-8323-181e49c1383b","72b8e08d-601d-41ee-8ece-138593df0acd","","","","","","","","","","","","","","",""
"","37372022","latezonatus","Amphiprion latezonatus Waite, 1900","POMACENTRIDAE","Amphiprion","","latezonatus","","Valid Name","","Species","","Waite","1900","Y","b6646d04-4b31-482f-9e08-06a5642c4886","20170512T10:23:34.596+0000","b5b02204-2ce7-44bb-bd7e-2b12b650d417","20170727T04:09:21.978+0000","598c5149-6358-48db-9766-d5cf10af9e31","b5b02204-2ce7-44bb-bd7e-2b12b650d417","","","","","","","","","","","","","","",""
"","37372023","mccullochi","Amphiprion mccullochi Whitley, 1929","POMACENTRIDAE","Amphiprion","","mccullochi","","Valid Name","","Species","","Whitley","1929","Y","8f9bc549-23a5-41da-843d-e94b70484e30","20170512T10:25:38.199+0000","9a04e73b-de12-4168-9aa1-3765c67c7534","20170727T04:09:21.978+0000","598c5149-6358-48db-9766-d5cf10af9e31","9a04e73b-de12-4168-9aa1-3765c67c7534","","","","","","","","","","","","","","",""
"","37384045","caeruleopunctatus","Anampses caeruleopunctatus Rüppell, 1829","LABRIDAE","Anampses","","caeruleopunctatus","","Valid Name","","Species","","Rüppell","1829","Y","12761c93-8260-4e50-a23b-dc8505801dc1","20170603T09:03:09.245+0000","91baffc2-e2d3-44de-a68c-f29c5020992c","20170727T04:09:21.978+0000","eab018be-9b6e-468a-8b45-3563d898548f","91baffc2-e2d3-44de-a68c-f29c5020992c","","","","","","","","","","","","","","",""
"","37384046","elegans","Anampses elegans Ogilby, 1889","LABRIDAE","Anampses","","elegans","","Valid Name","","Species","","Ogilby","1889","Y","9a589c74-67f9-4fc7-b240-4f64b283d106","20170603T09:01:48.155+0000","3813c2b5-4c2d-499e-b8aa-b320e3c0bee5","20170727T04:09:21.978+0000","eab018be-9b6e-468a-8b45-3563d898548f","3813c2b5-4c2d-499e-b8aa-b320e3c0bee5","","","","","","","","","","","","","","",""
"","37384047","femininus","Anampses femininus Randall, 1972","LABRIDAE","Anampses","","femininus","","Valid Name","","Species","","Randall","1972","Y","f8cbae39-e535-4006-be16-1a9dbf4c3fe9","20170601T08:47:30.261+0000","1a24efdc-5fce-473a-892d-4ce1d5571af8","20170727T04:09:21.978+0000","eab018be-9b6e-468a-8b45-3563d898548f","1a24efdc-5fce-473a-892d-4ce1d5571af8","","","","","","","","","","","","","","",""
"","37384048","geographicus","Anampses geographicus Valenciennes, 1840","LABRIDAE","Anampses","","geographicus","","Valid Name","","Species","","Valenciennes","1840","Y","262f7a01-4378-40c9-87c5-d0b68e61c797","20170628T06:27:31.757+0000","f5ec4c27-fdbb-47e0-af20-33a254c23ea3","20170727T04:09:21.978+0000","eab018be-9b6e-468a-8b45-3563d898548f","f5ec4c27-fdbb-47e0-af20-33a254c23ea3","","","","","","","","","","","","","","",""
"","37384050","neoguinaicus","Anampses neoguinaicus Bleeker, 1878","LABRIDAE","Anampses","","neoguinaicus","","Valid Name","","Species","","Bleeker","1878","Y","a92f7c26-b109-48c9-b1df-04aa28cc8161","20170628T06:24:24.705+0000","ff309c03-451a-4314-b217-117c40b88a39","20170727T04:09:21.978+0000","eab018be-9b6e-468a-8b45-3563d898548f","ff309c03-451a-4314-b217-117c40b88a39","","","","","","","","","","","","","","",""
"","37056001","australis","Anguilla australis Richardson, 1841","ANGUILLIDAE","Anguilla","","australis","","Valid Name","","Species","","Richardson","1841","Y","984a34e1-ed39-4943-893b-e5d0c727af18","20180801T01:34:36.994+0000","474949ae-5d6c-4d27-bc3b-dcd20db93e18","20190305T04:57:36.559+0000","c5456186-b924-44c3-92c1-1c0f44d366e6","474949ae-5d6c-4d27-bc3b-dcd20db93e18","","","","","","","","","","","","","","",""
"","37056002","reinhardtii","Anguilla reinhardtii Steindachner, 1867","ANGUILLIDAE","Anguilla","","reinhardtii","","Valid Name","","Species","","Steindachner","1867","Y","95530f1a-ec7f-4c83-b726-3932623d3345","20180801T01:33:01.778+0000","8766c4a4-b7d1-4ec6-a011-eadc27e6a4a1","20190305T04:57:36.559+0000","c5456186-b924-44c3-92c1-1c0f44d366e6","8766c4a4-b7d1-4ec6-a011-eadc27e6a4a1","","","","","","","","","","","","","","",""
"","37257001","cornuta","Anoplogaster cornuta (Valenciennes, 1833)","ANOPLOGASTRIDAE","Anoplogaster","","cornuta","","Valid Name","","Species","","Valenciennes","1833","N","5a8678a2-1a3f-4874-98c6-07fbabef20fc","20160520T07:15:08.678+0000","732817fa-bd1e-4933-b86d-5256b5185c65","20160606T05:15:12.352+0000","8928ee4e-8dcb-482b-ab38-9e63bd753497","732817fa-bd1e-4933-b86d-5256b5185c65","","","","","","","","","","","","","","",""
"","37210018","commerson","Antennarius commerson (Lacépède, 1798)","ANTENNARIIDAE","Antennarius","","commerson","","Valid Name","","Species","","Lacépède","1798","N","a00fa137-a628-4e4d-89d4-d66690051627","20150622T01:41:39.185+0000","b79cacb5-3283-4757-b100-d6d2efc8e5ef","20150625T00:28:50.961+0000","86859679-71e5-4025-8a2d-31d5b0e55889","b79cacb5-3283-4757-b100-d6d2efc8e5ef","","","","","","","","","","","","","","",""
"","37210020","pictus","Antennarius pictus (Shaw & Nodder, 1794)","ANTENNARIIDAE","Antennarius","","pictus","","Valid Name","","Species","","Shaw & Nodder","1794","N","b070494e-367e-4c55-9ab1-31a409fc31b2","20150504T05:04:51.841+0000","7d9276a0-9395-4da3-98ac-9b0bd9e4e6ad","20150625T00:28:50.961+0000","86859679-71e5-4025-8a2d-31d5b0e55889","7d9276a0-9395-4da3-98ac-9b0bd9e4e6ad","","","","","","","","","","","","","","",""
"","37210009","striatus","Antennarius striatus (Shaw, 1794)","ANTENNARIIDAE","Antennarius","","striatus","","Valid Name","","Species","","Shaw","1794","N","e5c10afa-340a-41eb-97ec-ff765ffe8cdc","20150504T05:40:02.267+0000","61d51771-11e0-4444-9929-0457e6be46ca","20150625T00:28:50.961+0000","86859679-71e5-4025-8a2d-31d5b0e55889","61d51771-11e0-4444-9929-0457e6be46ca","","","","","","","","","","","","","","",""
"","37210017","coccineus","Antennatus coccineus (Lesson, 1830)","ANTENNARIIDAE","Antennatus","","coccineus","","Valid Name","","Species","","Lesson","1830","N","9ec70d81-6187-4730-9a8e-74867c83a651","20150504T05:51:18.570+0000","db24e878-8b2e-4b6b-8b77-350d250e731c","20150625T00:28:50.961+0000","4f4d559f-f704-4cbe-aaab-036f8920734f","db24e878-8b2e-4b6b-8b77-350d250e731c","","","","","","","","","","","","","","",""
"","37210011","nummifer","Antennatus nummifer (Cuvier, 1817)","ANTENNARIIDAE","Antennatus","","nummifer","","Valid Name","","Species","","Cuvier","1817","N","bea15330-2dd4-4946-a253-687aae653528","20150504T06:02:04.620+0000","258b9425-4ba3-49ef-8baf-1c64fb382a63","20150625T00:28:50.961+0000","4f4d559f-f704-4cbe-aaab-036f8920734f","258b9425-4ba3-49ef-8baf-1c64fb382a63","","","","","","","","","","","","","","",""
"","37210021","rosaceus","Antennatus rosaceus (Smith & Radcliffe, 1912)","ANTENNARIIDAE","Antennatus","","rosaceus","","Valid Name","","Species","","Smith & Radcliffe","1912","N","942fef7e-8cbc-4199-959c-f18a344a0b98","20150504T06:14:09.782+0000","63a45c20-0fda-4cf0-9a55-e3cf561f1360","20150625T00:28:50.961+0000","4f4d559f-f704-4cbe-aaab-036f8920734f","63a45c20-0fda-4cf0-9a55-e3cf561f1360","","","","","","","","","","","","","","",""
"","37224008","rostrata","Antimora rostrata (Günther, 1878)","MORIDAE","Antimora","","rostrata","","Valid Name","","Species","","Günther","1878","N","c4e8dcdf-32f4-454a-953f-dc8891461f56","20151111T08:00:52.407+0000","3b11681e-237c-45bf-a7e2-8f32ddbc1503","20151125T23:15:40.328+0000","0c8418fc-1a0c-4f3b-a455-c46975a1e636","3b11681e-237c-45bf-a7e2-8f32ddbc1503","","","","","","","","","","","","","","",""
"","37346036","furca","Aphareus furca (Lacépède, 1801)","LUTJANIDAE","Aphareus","","furca","","Valid Name","","Species","","Lacépède","1801","N","6f95b639-2f13-462f-a7fb-a2d918b571cd","20131008T23:07:52.756+0000","e4e668ff-52c4-468e-ad66-28292ed4e3e5","20131008T23:07:52.756+0000","7d18e3cc-edda-46a3-b429-1091275c81cd","e4e668ff-52c4-468e-ad66-28292ed4e3e5","","","","","","","","","","","","","","",""
"","37228014","gelatinosus","Aphyonus gelatinosus Günther, 1878","APHYONIDAE","Aphyonus","","gelatinosus","","Valid Name","","Species","","Günther","1878","Y","5eed1b0e-6a6e-484a-a5e8-38da4c6f3984","20150528T04:27:04.160+0000","e81563a9-2ec8-40d4-8dec-ea353bb0abf3","20160104T00:54:35.702+0000","d8596798-d11d-4022-b676-3ed09f73cc86","e81563a9-2ec8-40d4-8dec-ea353bb0abf3","","","","","","","","","","","","","","",""
"","37376003","etheridgii","Aplodactylus etheridgii Ogilby, 1889","APLODACTYLIDAE","Aplodactylus","","etheridgii","","Valid Name","","Species","","Ogilby","1889","Y","601c9e69-54e4-430e-affc-538390a0443a","20121112T04:34:57.287+0000","5963e187-583d-40af-82ce-5ee1cbdf7c29","20121112T23:27:17.503+0000","7d99c058-1898-4851-8d75-7cb63dd22f91","5963e187-583d-40af-82ce-5ee1cbdf7c29","","","","","","","","","","","","","","",""
"","37327051","crassiceps","Apogon crassiceps Garman, 1903","APOGONIDAE","Apogon","","crassiceps","","Valid Name","","Species","","Garman","1903","Y","8ec7af27-1939-40d7-bfd9-b522ee744a23","20140806T01:08:46.507+0000","dcaeed39-0658-49bd-a0a3-17c0158b77b3","20150222T20:47:51.319+0000","37c8b1f4-1428-44c9-a97e-6ebe76b8bb2f","dcaeed39-0658-49bd-a0a3-17c0158b77b3","","","","","","","","","","","","","","",""
"","37327121","chrysurus","Apogonichthyoides chrysurus (Ogilby, 1889)","APOGONIDAE","Apogonichthyoides","","chrysurus","","Valid Name","","Species","","Ogilby","1889","N","ffd74e37-bce0-44a3-83af-ff440362286c","20140806T01:08:46.507+0000","4577784d-4972-449f-a9b2-88ddb0dd1b1d","20150222T20:47:51.319+0000","6d8581fc-9eab-4fac-a51b-f5923d3d49c0","4577784d-4972-449f-a9b2-88ddb0dd1b1d","","","","","","","","","","","","","","",""
